City Name,Population
Ambon,355596
Balikpapan,433866
Banda Aceh,250757
Bandar Lampung,800348
Bandung,1699719
Banjaran,164952
Banjarmasin,572837
Batam,1164352
Bekasi,1520119
Bengkulu,309712
Binjai,228763
Bogor,800000
Ciampea,207212
Cibinong,188663
Cikupa,174041
Cileungsir,202190
Cimahi,493698
Ciputat,207858
Cirebon,254298
City of Balikpapan,700000
Curug,191406
Denpasar,834881
Depok,1198129
Jakarta,8540121
Jambi City,420323
Jember,298585
Kediri,235143
Kendari,195006
Kupang,282396
Labuan Bajo,188724
Lawang,159380
Lembang,183130
Loa Janan,212816
Madiun,186099
Makassar,1321717
Malang,746716
Manado,451893
Mataram,318674
Medan,1750971
Padang,840352
Palembang,1441500
Palu,282431
Pamulang,174557
Parung,193898
Pekalongan,257945
Pekanbaru,703956
Pemalang,184149
Pematangsiantar,209614
Percut,311063
Plumbon,167105
Pontianak,455173
Probolinggo,181656
Purwakarta,215803
Purwokerto,217222
Rengasdengklok,201463
Salatiga,172645
Samarinda,355160
Semarang,1288084
Serang,164767
Situbondo,600000
South Tangerang,1303569
Sukabumi,276414
Sumedang,200000
Surabaya,2374658
Surakarta,555308
Tangerang,1372124
Tanjung Pinang,192493
Tasikmalaya,271143
Tegal,237084
Yogyakarta,636660
